rate_id,rate_date,rate_title,rate_value,traveller_type,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_beverage,ground_service,value_for_money,recommended
Omar Swidan,15th December 2017,"""biggest disappointment was the cabin crew""",3,Solo Leisure,Economy Class,Dubai to London Heathrow,December 2017,2,1,2,4,2,no
Szabina Fetter,13th December 2017,"""cancelled due to heavy snow""",1,Solo Leisure,Economy Class,New York to Budapest via London,December 2017,1,1,1,1,1,no
Tim Bailey,13th December 2017,"""I was very hungry throughout the service""",1,Solo Leisure,Economy Class,Tokyo Narita to London Heathrow,December 2017,2,1,1,2,1,no
S Lacey,12th December 2017,"""quite disappointed with my experience""",4,Couple Leisure,Economy Class,Hamburg to London Heathrow,June 2017,3,2,0,5,2,no
K Andrews,10th December 2017,"""a poor economy class product""",1,Family Leisure,Economy Class,London to Pisa,October 2017,1,1,1,1,1,no
H Kawaldha,10th December 2017,"""no longer a full service airline""",1,Family Leisure,Economy Class,London to Toulouse,October 2017,1,1,1,1,1,no
H Burton,9th December 2017,"""Lovely, friendly crew""",9,Solo Leisure,Business Class,London to Santiago,November 2017,5,5,4,4,5,yes
J Reames,5th December 2017,"""morphing into a low-cost carrier""",8,Couple Leisure,Economy Class,London to Rome,November 2017,5,3,0,5,5,yes
C Cordan,5th December 2017,"""used to include complimentary tea/sandwich""",8,Solo Leisure,Economy Class,London to Manchester,November 2017,4,5,0,4,4,yes
C Cordan,5th December 2017,"""little to complain about""",8,Solo Leisure,Premium Economy,London to Seattle,November 2017,4,4,4,4,4,yes
C Cordan,4th December 2017,"""policy of charging to book a seat""",8,Solo Leisure,Premium Economy,Seattle to London,November 2017,4,4,3,4,4,yes
Y Chan,4th December 2017,"""ground service was really poor""",1,Family Leisure,Economy Class,London to Barcelona,June 2017,1,1,0,1,1,no
Heidy Lopez,3rd December 2017,"""the worst travel experience""",3,Business,Economy Class,Vancouver to Edinburgh via London,December 2017,2,2,3,1,2,no
T Mallison,2nd December 2017,"""Noticeable cost cutting measures""",2,Solo Leisure,First Class,London to Berlin Tegel,November 2017,2,2,1,4,2,no
Clive Drake,1st December 2017,"""1st product is very mediocre""",2,Family Leisure,First Class,London Heathrow to Dubai,November 2017,3,4,2,3,1,no
Clive Drake,1st December 2017,"""sad experience from our national carrier""",3,Family Leisure,First Class,Dubai to London Heathrow,November 2017,3,2,2,2,2,no
Jenny Bentley,1st December 2017,"""BA quality is severely lacking""",3,Business,Business Class,Saint Lucia to London Gatwick,November 2017,2,3,2,4,2,no
Jonathan Rodden,1st December 2017,"""fast and efficient service""",8,Business,Business Class,London Heathrow to Belfast,November 2017,4,5,4,4,4,yes
Lane Allan,30th November 2017,"""it’s just spiralling down""",2,Solo Leisure,Economy Class,London to Miami,November 2017,1,1,3,1,1,no
J Pearce,30th November 2017,"""new improvements are excellent""",9,Couple Leisure,Business Class,London Heathrow to New York JFK,November 2017,4,5,5,4,4,yes
H Lewis,30th November 2017,"""unreliable, unprofessional airline""",1,Business,Economy Class,Berlin to London City,September 2017,1,1,1,1,1,no
Victor Mendonca,30th November 2017,"""pleasure to fly with a great airline""",10,Solo Leisure,Economy Class,Funchal to London Gatwick,November 2017,5,5,5,5,5,yes
Raymond Grayson,30th November 2017,"""One issue after another!""",2,Couple Leisure,Business Class,Newcastle to San Francisco via London Heathrow,August 2017,4,5,4,3,3,no
E Marvin,28th November 2017,"""BA needs to improve and fast""",5,Couple Leisure,Business Class,Manchester to London,October 2017,1,3,3,1,3,no
Petros Klironomos,26th November 2017,"""check in my carry on luggage for free""",1,Family Leisure,Economy Class,London to Athens,November 2017,3,3,0,1,2,no
M Kemp,25th November 2017,"""sad to see how BA service went down""",1,Business,Economy Class,Berlin Tegel to London Heathrow,November 2017,4,1,0,2,1,no
A Lewis,25th November 2017,"""a no frills business class""",4,Couple Leisure,Business Class,London Heathrow to Doha,October 2017,2,3,2,2,3,no
Corey Diffin,24th November 2017,"""British Airways is seriously lacking""",3,Couple Leisure,Economy Class,Singapore to Sydney,November 2017,3,1,1,3,2,no
H Peel,24th November 2017,"""BA is shameless and embarrassing""",1,Business,Economy Class,London Heathrow to Basel,November 2017,2,1,1,1,1,no
William Beard,24th November 2017,"""poor quality product crew have to support""",3,Couple Leisure,Economy Class,Miami to London Heathrow,November 2017,1,5,1,3,3,no
D Karnda,23rd November 2017,"""the worst airline I have flown""",1,Business,Business Class,Prague to Washington via London,November 2017,1,1,1,1,1,no
David Ellis,23rd November 2017,"""An excellent flight""",9,Couple Leisure,First Class,Cape Town to London,November 2017,4,5,5,4,4,yes
B Mantourieux,21st November 2017,"""the CEO is running BA to the ground""",5,Business,Premium Economy,Bangkok to London Heathrow,September 2017,2,4,3,5,3,no
A Lewis,21st November 2017,"""bus transfer and arrival at 2.30am""",2,Solo Leisure,Economy Class,London Gatwick to Verona,October 2017,4,2,0,1,1,no
Angelo Menezes,20th November 2017,"""Short-haul with BA never again""",2,Business,Economy Class,Madrid to London Heathrow,September 2017,3,4,0,3,1,no
C Down,20th November 2017,"""solid product and excellent crew""",7,Solo Leisure,First Class,Tel Aviv to London,November 2017,5,4,5,2,5,yes
C Down,20th November 2017,"""was a very enjoyable flight""",7,Solo Leisure,Business Class,London to Tel Aviv,November 2017,5,4,4,4,5,yes
T Chen,19th November 2017,"""The service was brusque""",6,Family Leisure,Economy Class,Kuala Lumpur to Madrid via London,November 2017,4,3,2,3,4,yes
Christopher Rainbow,19th November 2017,"""inflight service was very poor""",5,Solo Leisure,Economy Class,Madrid to London Heathrow,November 2017,3,1,1,2,3,no
Ian Henderson,19th November 2017,"""this was not acceptable""",2,Couple Leisure,Economy Class,Bologna to London Heathrow,October 2017,1,1,2,4,2,no
Courtney Ross,18th November 2017,"""prepare to be nickled and dimed""",1,Couple Leisure,Economy Class,Baltimore to Rome via London,November 2017,1,2,1,1,1,no
David Ellis,17th November 2017,"""In-flight service good""",8,Couple Leisure,Business Class,London Heathrow to Johannesburg,November 2017,4,4,4,4,4,yes
C Davies,17th November 2017,"""will think twice before choosing again""",3,Solo Leisure,Economy Class,London Heathrow to Brussels,November 2017,4,1,3,5,3,no
Melanie Dunn,17th November 2017,"""a functional, disinterested service""",3,Solo Leisure,Premium Economy,London to San Francisco,October 2017,1,1,1,3,1,no
C Stratton,17th November 2017,"""BA is just too cheap on it's product""",6,Solo Leisure,Business Class,London Heathrow to Seoul Incheon,January 2017,3,4,2,2,3,no
C Stratton,16th November 2017,"""BA is way behind other carriers""",6,Solo Leisure,Business Class,Seoul Incheon to London Heathrow,December 2016,3,3,3,4,3,no
Saunders Mark,16th November 2017,"""It was the most uncomfortable flight""",2,Business,Economy Class,Cape Town to London,November 2017,1,1,1,3,3,no
Richard Clarke,15th November 2017,"""Cost cutting was in evidence""",5,Solo Leisure,Business Class,London Heathrow to Bahrain,November 2017,2,3,3,1,3,no
Edward Warren,14th November 2017,"""crew amazingly helpful""",8,Family Leisure,Business Class,London to Philadelphia,October 2017,4,5,2,4,4,yes
R Wathardar,13th November 2017,"""extra cost not justified""",2,Business,Business Class,London to Edinburgh,November 2017,1,3,3,3,1,no
Komalpreet Gill,13th November 2017,"""requested Asian vegetarian food""",1,Family Leisure,Economy Class,Oakland to Gatwick,October 2017,1,1,1,1,1,no
Derek Northcutt,13th November 2017,"""continually disappointed by British Airways""",2,Business,Economy Class,Düsseldorf to London,August 2017,3,4,2,2,1,no
G Searle,11th November 2017,"""need to clean the planes more often""",6,Couple Leisure,Business Class,London to Santiago,November 2017,3,4,3,4,3,yes
Mike Randall,11th November 2017,"""Complete rip-off sums it up""",3,Business,Business Class,London to New York JFK,November 2017,2,3,2,3,1,no
Yuriy Karpov,10th November 2017,"""exactly the same width and pitch""",1,Couple Leisure,Business Class,Johannesburg to Victoria Falls,October 2017,1,3,3,1,1,no
C Ward,10th November 2017,"""disappointed with the return flight""",1,Couple Leisure,Business Class,London to Mumbai,October 2017,3,4,2,5,1,no
Mubashira Bukhari Khwaja,9th November 2017,"""They were refused boarding""",1,Family Leisure,Business Class,London to Johannesburg,October 2017,2,2,0,1,1,no
D Matovic,8th November 2017,"""The worst customer service""",1,Business,Economy Class,Heathrow to Lyon,November 2017,1,1,1,1,1,no
Charlie Davies,7th November 2017,"""Absolutely appalling service""",1,Couple Leisure,Economy Class,London to New York,November 2017,1,1,1,1,1,no
D Warren,6th November 2017,"""I had a horrid experience""",1,Solo Leisure,Economy Class,Kingston to London Gatwick,November 2017,1,1,1,2,1,no
B Warden,5th November 2017,"""well below standards of competition""",5,Couple Leisure,Economy Class,Heathrow to Barcelona,November 2017,2,2,0,3,2,no
Paul Steensen,4th November 2017,"""just getting worse and worse""",2,Business,Business Class,Singapore to London,October 2017,1,3,1,2,1,no
R Barrett,3rd November 2017,"""a better BA experience""",8,Couple Leisure,Business Class,London to Rome,October 2017,2,5,5,4,3,yes
E Meaden,2nd November 2017,"""ashamed this is my national airline""",2,Solo Leisure,Premium Economy,Heathrow to Dubai,September 2017,1,1,1,1,1,no
Robert Lazare,2nd November 2017,"""one of the worst flights""",3,Solo Leisure,Economy Class,Tokyo Haneda to Heathrow,October 2017,1,2,1,2,3,no
Christian Kurmann,1st November 2017,"""today just another 2 star airline""",3,Business,Business Class,London to Toronto,October 2017,2,2,1,1,2,no
Michael Edwards,1st November 2017,"""BA is now grossly overpriced""",5,Business,First Class,New York JFK to London,October 2017,3,4,3,3,2,no
S Hammis,31st October 2017,"""I will not use BA again""",1,Couple Leisure,Economy Class,Gatwick to Marrakech,October 2017,1,1,0,3,1,no
Anurag Dave,30th October 2017,"""on-board experience was good""",8,Solo Leisure,Economy Class,Los Angeles to London Heathrow,July 2017,4,4,4,4,4,yes
C Barton,29th October 2017,"""pleasant and well organised""",7,Solo Leisure,Economy Class,Gatwick to Cagliari,October 2017,4,4,2,4,3,yes
K Chater,28th October 2017,"""deplorable customer service""",1,Couple Leisure,Business Class,Shanghai to Tampa via Heathrow/Gatwick,October 2017,1,4,2,1,1,no
W Neeley,27th October 2017,"""gripe is about the current food service""",3,Couple Leisure,Economy Class,Gatwick to Marrakech,October 2017,3,1,1,4,4,no
Simon Fowler,26th October 2017,"""this flight was fine""",7,Solo Leisure,Business Class,Oakland to Heathrow,October 2017,4,4,3,4,4,yes
V Mitov,26th October 2017,"""now becoming as bad as Ryanair""",3,Family Leisure,Economy Class,London to Sofia,September 2017,3,4,1,3,3,no
K Gaulin,25th October 2017,"""a dismal airline to fly with""",4,Solo Leisure,Economy Class,Singapore to Nassau via Heathrow,October 2017,3,2,2,3,5,no
Pablo Pascual,24th October 2017,"""serious impact on the quality""",4,Business,Economy Class,London Heathrow to Madrid,October 2017,1,2,0,2,1,no
P Verran,23rd October 2017,"""budget airline at premium price""",2,Business,Economy Class,London to Zurich,October 2017,2,2,1,2,1,no
Alan Thompson,23rd October 2017,"""Cabin crew chatting and ignored me""",7,Couple Leisure,Economy Class,Bari to Gatwick,October 2017,3,3,1,4,4,yes
P Leane,22nd October 2017,"""service levels are dropping so low""",5,Couple Leisure,Economy Class,London Heathrow to Gibraltar,September 2017,3,2,2,3,3,yes
Clive Drake,21st October 2017,"""Time to find a new CEO I think""",2,Couple Leisure,Business Class,Pisa to London,October 2017,1,5,3,3,1,no
D Gold,21st October 2017,"""at best a three star airline""",1,Business,First Class,Las Vegas to London Heathrow,September 2017,1,1,1,1,1,no
Anthony Geddes,21st October 2017,"""Impressed with legroom on E190""",9,Family Leisure,Economy Class,London City to Edinburgh,September 2017,5,4,4,4,4,yes
C Down,20th October 2017,"""a good deal on the flight""",7,Solo Leisure,Business Class,Faro to Gatwick,October 2017,4,5,4,2,3,yes
Stephen Sales,20th October 2017,"""the experience was shameful""",2,Solo Leisure,Economy Class,Los Angeles to London Heathrow,October 2017,4,1,2,5,2,no
S Kenton,20th October 2017,"""crew seem genuinely fed up""",2,Business,Economy Class,Malaga to Gatwick,October 2017,2,1,1,1,2,no
M Seward,19th October 2017,"""how disappointed I was""",3,Solo Leisure,Economy Class,London Heathrow to Bangkok,October 2017,2,2,1,2,2,no
Alan Thompson,19th October 2017,"""do not care for passengers""",7,Couple Leisure,Economy Class,Gatwick to Bari,October 2017,3,3,1,2,4,yes
S Porter,19th October 2017,"""very pleasant crew """,10,Family Leisure,Business Class,Malaga to Gatwick,October 2017,5,5,5,3,5,yes
S Porter,18th October 2017,"""food was well presented""",10,Family Leisure,Business Class,Gatwick to Malaga,October 2017,5,5,5,4,5,yes
N Jeffery,17th October 2017,"""Deliberate extortion""",1,Business,Economy Class,London Heathrow to Nice,October 2017,1,2,1,1,1,no
G Peel,17th October 2017,"""depths to which BA have descended""",3,Couple Leisure,Business Class,Gatwick to Orlando,September 2017,3,2,4,3,3,no
K Lanson,17th October 2017,"""I won't fly with them again""",2,Solo Leisure,Premium Economy,London to Abu Dhabi,August 2017,5,3,4,1,1,no
C Down,15th October 2017,"""Overall a good flight""",8,Solo Leisure,Business Class,Gatwick to Faro,October 2017,3,4,4,4,5,yes
Paul Dreyfuss,13th October 2017,"""true case of rip-off BA""",3,Business,Economy Class,London Heathrow  to Madrid,October 2017,3,3,1,3,2,no
B Davis,12th October 2017,"""staff were insanely rude2",1,Solo Leisure,Economy Class,Geneva to London,September 2017,3,1,0,1,1,no
S Laiken,11th October 2017,"""truly disappointed with BA""",4,Solo Leisure,Economy Class,Grand Cayman to London,September 2017,1,2,2,3,2,no
J Thalon,11th October 2017,"""I tried BA, never again""",2,Couple Leisure,Economy Class,Sydney to Paris via London,September 2017,1,2,2,3,1,no
B Rawlin,9th October 2017,"""like a 'posh' Ryanair""",5,Couple Leisure,Economy Class,Larnaca to London Heathrow,October 2017,3,3,0,4,3,yes
Brian Hill,9th October 2017,"""provided a chaotic service""",2,Couple Leisure,Business Class,Funchal to Gatwick,October 2017,4,1,1,1,3,no
J Barten,8th October 2017,"""would highly recommend""",10,Family Leisure,Economy Class,Orlando to Gatwick,September 2017,5,5,4,5,5,yes
K Robinson,8th October 2017,"""shocked me with the budget low cost style""",6,Solo Leisure,Economy Class,Leeds Bradford to Geneva via London Heathrow,October 2017,4,4,2,4,2,yes
I Dorlan,7th October 2017,"""food was embarrassing bad""",6,Business,Business Class,Los Angeles to Doha via London,October 2017,2,3,1,4,3,no
A Madek,6th October 2017,"""is quite clearly in decline""",2,Couple Leisure,Economy Class,London Heathrow to Istanbul,August 2017,2,1,1,2,1,no
Mike Palmer,1st October 2017,"""no further decline in service""",7,Business,Premium Economy,Toronto to Oslo via London,September 2017,1,3,1,4,4,yes
C Benson,1st October 2017,"""cost of the luggage was outrageous """,6,Solo Leisure,Economy Class,Gatwick to Malaga,September 2017,3,4,2,4,3,yes
M Leventis,1st October 2017,"""Slowest baggage drop service """,4,Business,Economy Class,Athens to London,September 2017,3,0,0,1,3,no
Alistair Wharton,29th September 2017,"""a service of 2 halves""",6,Solo Leisure,Economy Class,London to Sofia,September 2017,3,5,2,3,3,yes
Samuele Scagnetti,29th September 2017,"""now worse than Ryanair""",1,Business,Business Class,Geneva to London,September 2017,1,1,1,1,1,no
G Graham,27th September 2017,"""used to be a nice airline""",3,Couple Leisure,Business Class,Barcelona to London,September 2017,2,3,1,4,2,no
Paul Taylor,27th September 2017,"""BA has fallen even lower""",3,Business,Business Class,London to New York JFK,September 2017,2,3,1,1,2,no
T Lanescu,26th September 2017,"""was a good experience""",9,Business,Economy Class,Port of Spain to Gatwick via St. Lucia,September 2017,5,5,5,4,4,yes
Douglas Day,26th September 2017,"""Simply appalling""",1,Business,First Class,London Heathrow to Chicago,August 2017,1,1,1,1,1,no
T Mallon,26th September 2017,"""on a par with low cost carriers""",7,Couple Leisure,Economy Class,Jersey to Gatwick,September 2017,3,4,1,4,4,yes
D Whalley,24th September 2017,"""nothing special to recommend""",7,Couple Leisure,Economy Class,Gatwick to Tirana,September 2017,3,3,0,4,3,no
Alice Sinclair,24th September 2017,"""assumption it was a quality carrier""",4,Couple Leisure,Economy Class,Reykjavik to London Heathrow,September 2017,3,5,0,1,1,no
J Gaswana,22nd September 2017,"""Economy seats are small""",9,Couple Leisure,Economy Class,Kuala Lumpur to Berlin via London,September 2017,2,5,5,4,5,yes
Colin Pay,21st September 2017,"""Crew were good""",10,Solo Leisure,Economy Class,Brussels to London,September 2017,5,5,0,5,5,yes
B Morrison,21st September 2017,"""clean plane, punctual service, pleasant cabin crew""",8,Solo Leisure,Economy Class,London Heathrow to Sofia,September 2017,4,4,1,3,3,yes
A Wharton,19th September 2017,"""service is similar to Eurowings""",6,Solo Leisure,Economy Class,Heathrow to Bilbao,September 2017,3,2,0,4,3,no
David Ellis,19th September 2017,"""service poorly synchronised""",5,Couple Leisure,Business Class,Kalamata to London Heathrow,September 2017,2,2,2,3,2,no
C Lambie,18th September 2017,"""are a bottom tier airline""",3,Business,Economy Class,London Heathrow to Kraków,September 2017,2,1,1,3,3,no
David Taylor,17th September 2017,"""Seat so narrow that you cannot move""",3,Business,Economy Class,"London Heathrow to Abuja, Nigeria",September 2017,1,2,2,3,2,no
Mike Gardiner,17th September 2017,"""downgrade them to 3 stars""",2,Business,Economy Class,London to Tokyo Haneda,September 2017,2,4,1,3,1,no
A Darali,17th September 2017,"""really mixed experience""",6,Solo Leisure,Premium Economy,London to Hong Kong,September 2017,3,5,3,2,3,no
A Trent,16th September 2017,"""respect for BA standards thoroughly destroyed""",1,Family Leisure,Economy Class,Gatwick to Alicante,September 2017,1,1,1,3,1,no
David Ellis,16th September 2017,"""Club Europe is poor value""",6,Couple Leisure,Business Class,London Heathrow to Kalamata,September 2017,2,4,3,3,3,no
D Masiko,16th September 2017,"""very poor and disappointing experience""",4,Couple Leisure,Business Class,Gatwick to Mauritius,September 2017,1,3,1,3,2,no
C Rankin,12th September 2017,"""airline is clearly failing fast""",3,Business,Business Class,Dubai to London,September 2017,3,1,1,3,1,no
Anthony Hutt,11th September 2017,"""nice flight with good cabin service""",9,Couple Leisure,Economy Class,London Heathrow to Biarritz,September 2017,4,5,4,4,4,yes
Rob Minter,11th September 2017,"""they are just an embarrassment""",2,Couple Leisure,Economy Class,London Gatwick to Funchal,September 2017,1,1,1,2,1,no
John Barry,9th September 2017,"""very good flight again""",8,Family Leisure,Business Class,Zakinthos to London Heathrow,September 2017,4,5,4,2,5,yes
Alan Wan,9th September 2017,"""expensive at £343 return""",8,Business,Economy Class,Belfast City to London Heathrow,September 2017,3,4,4,5,2,yes
K Bevin,9th September 2017,"""staff were extremely friendly""",8,Business,Business Class,Toronto to London Heathrow,September 2017,4,5,3,4,4,yes
John Barry,9th September 2017,"""kind and chatty with us""",9,Family Leisure,Business Class,London Heathrow to Zakinthos,August 2017,4,5,4,5,5,yes
H Cole,6th September 2017,"""wonderful member of crew""",8,Family Leisure,Economy Class,London to Vancouver,August 2017,3,5,3,4,3,yes
Tasmin Symons,6th September 2017,"""exceptionally ordinary flight""",6,Business,Economy Class,London to Sao Paulo,August 2017,2,4,2,5,4,yes
Kemal Giray,6th September 2017,"""become a budget airline""",1,Business,Business Class,Istanbul to London,August 2017,1,3,1,2,1,no
A Ward,6th September 2017,"""not recommended at all""",1,Solo Leisure,Business Class,Bangkok to London,September 2017,4,1,1,4,1,no
P Richards,5th September 2017,"""not worth the extra money""",1,Solo Leisure,Economy Class,Rome to London,September 2017,1,2,0,1,1,no
E Lanson,4th September 2017,"""significant downgrade in BA service""",3,Couple Leisure,Business Class,London to Cape Town,August 2017,2,2,2,1,2,no
Rohith Jayawardene,2nd September 2017,"""get your act together""",4,Business,Economy Class,London to Milan,August 2017,3,1,1,3,2,yes
A Wharton,31st August 2017,"""seating rough around the edges""",5,Business,Economy Class,London Heathrow to Bucharest,August 2017,2,4,2,3,2,no
T Merton,31st August 2017,"""downgraded so drastically""",7,Couple Leisure,Economy Class,London to Bologna,August 2017,4,4,2,4,4,no
A Wharton,31st August 2017,"""not really a business class cabin""",8,Business,Business Class,London Heathrow to Keflavik,August 2017,3,5,4,4,4,yes
Darren Harris,29th August 2017,"""airline has gone downhill""",2,Family Leisure,Economy Class,Larnaca to London Heathrow,August 2017,3,1,2,4,2,no
Doris Ward,28th August 2017,"""staff were friendly and efficient""",9,Solo Leisure,Economy Class,San Jose to Gatwick,August 2017,4,5,4,5,5,yes
E Snowden,28th August 2017,"""avoid at all costs""",1,Couple Leisure,Economy Class,London to Keflavik,July 2017,1,1,0,1,1,no
S Copelan,27th August 2017,"""your budget airline status""",3,Couple Leisure,Economy Class,Tokyo Haneda to London,August 2017,3,3,1,2,2,no
Daniel Shaw,26th August 2017,"""Absolutely appalling airline""",1,Couple Leisure,Economy Class,Rome to London,August 2017,1,1,1,1,1,no
K Teale,24th August 2017,"""flight was pretty regular""",7,Family Leisure,Economy Class,Amsterdam to Gatwick,August 2017,3,4,0,4,4,yes
David Cooke,23rd August 2017,"""a noticeable degradation of service""",3,Business,Economy Class,Zurich to London Heathrow,August 2017,2,2,2,2,2,no
C Berlin,22nd August 2017,"""A huge disappointment""",3,Business,First Class,New York to Cape Town via London,August 2017,2,4,2,3,2,no
Keiran Coulton,21st August 2017,"""bland insulting service""",2,Business,Business Class,London to Philadelphia,August 2017,3,1,1,2,1,no
S Ballimore,21st August 2017,"""positive first experience""",10,Family Leisure,Economy Class,Florence to Bristol,August 2017,5,5,5,5,5,yes
Harsha Kariyawasam,20th August 2017,"""A national disgrace""",2,Solo Leisure,Economy Class,Salzburg to Gatwick,August 2017,2,1,1,5,2,no
Philip Hermon,19th August 2017,"""downgrade rating of British Airways""",1,Couple Leisure,Economy Class,Nice to Heathrow,August 2017,2,1,1,1,2,no
C Porter,19th August 2017,"""Another miserable experience""",2,Couple Leisure,Business Class,Athens to Newcastle via London,August 2017,2,5,1,5,2,no
E Smyth,17th August 2017,"""a general trend downwards""",5,Family Leisure,Business Class,London to Paris Orly,August 2017,3,3,2,3,3,no
E Salter,17th August 2017,"""cheap and sleazy budget airline""",2,Couple Leisure,Economy Class,Toulouse to London Heathrow,August 2017,3,2,1,2,2,no
B Rawlins,17th August 2017,"""cabin crew fell below the standard""",2,Business,Business Class,London City to Dusseldorf,August 2017,4,2,1,1,2,no
D Webb,16th August 2017,"""BA's golden years are well and truly over""",1,Family Leisure,Business Class,Vancouver to London Heathrow,July 2017,1,4,1,2,1,no
Francois Koenig,16th August 2017,"""very good experience""",9,Solo Leisure,Premium Economy,Johannesburg to London,August 2017,5,5,5,4,4,yes
S Vernon,15th August 2017,"""extremely disappointed with Business Class""",3,Solo Leisure,Business Class,Oslo to Philadelphia via London,August 2017,2,2,1,3,2,no
B Chan,13th August 2017,"""pay for your food on board""",3,Business,Economy Class,London to Warsaw,August 2017,2,3,1,3,1,no
G Lawrence,12th August 2017,"""some sort of mean spirited joke""",3,Family Leisure,Business Class,Athens to London,August 2017,1,2,1,3,1,no
B Tramese,11th August 2017,"""full price for a low cost service""",2,Solo Leisure,Economy Class,Cairo to Montreal via London,August 2017,3,4,4,1,1,no
S Tallouhe,8th August 2017,"""downgraded the ticket""",3,Family Leisure,Economy Class,London to Chicago,August 2017,1,5,0,1,1,no
E Hanner,7th August 2017,"""they are now a junk airline""",1,Business,Economy Class,Nice to London Heathrow,August 2017,1,1,1,1,1,no
Tim Peel,5th August 2017,"""way below the normal standard""",2,Business,Premium Economy,London to Doha,August 2017,0,0,0,2,1,no
C Lanton,4th August 2017,"""not worth the money""",10,Business,Business Class,Paris CDG to London,August 2017,3,1,0,1,1,no
A Alzuhairi,3rd August 2017,"""has become a disgrace""",1,Solo Leisure,Economy Class,Gatwick to Paphos,August 2017,1,1,1,2,2,no
M Robinson,3rd August 2017,"""budget airline service at best""",3,Solo Leisure,Economy Class,Vancouver to London Heathrow,August 2017,3,1,1,4,2,no
Christopher Neep,3rd August 2017,"""declined to level of a budget airline""",2,Solo Leisure,Premium Economy,Vancouver to London,July 2017,2,1,1,3,3,no
P Mitchell,3rd August 2017,"""next time we'll just fly another airline""",1,Couple Leisure,Economy Class,Athens to London,June 2017,1,2,0,2,1,no
H Burton,2nd August 2017,"""become a low cost airline""",2,Couple Leisure,Economy Class,Catania to Gatwick,June 2017,2,1,1,1,1,no
P Garvey,1st August 2017,"""need to improve their standards""",5,Couple Leisure,Economy Class,Venice to Gatwick,July 2017,3,4,0,3,3,no
Andrei Chiciu,1st August 2017,"""bad experience with BA""",3,Family Leisure,Economy Class,Bucharest to London,July 2017,3,2,0,1,1,no
B Stevens,31st July 2017,"""catch up with the others BA""",1,Business,Business Class,London Heathrow to Accra,July 2017,1,2,1,1,1,no
S Varinder,31st July 2017,"""I will not be using BA again""",3,Family Leisure,Economy Class,Gatwick to Orlando,July 2017,4,3,2,1,3,no
B Rowden,31st July 2017,"""The worst business class""",2,Solo Leisure,Business Class,San Diego to London,July 2017,1,2,2,2,1,no
Alan Wan,28th July 2017,"""cabin crew were efficient and friendly enough""",8,Couple Leisure,Business Class,Pisa to London Gatwick,July 2017,3,4,3,3,5,yes
Steve Shaw,28th July 2017,"""have never been treated as badly""",1,Business,Economy Class,Budapest to London,July 2017,1,1,1,1,1,no
Ian Makinson,28th July 2017,"""I had to pay a £140 excess""",1,Solo Leisure,Economy Class,Bangkok to Manchester,August 2016,0,0,0,1,3,no
L Peck,27th July 2017,"""they have become so budget""",1,Solo Leisure,Economy Class,Singapore to Newcastle via London,May 2017,1,3,1,1,1,no
Wolfgang Riebe,27th July 2017,"""BA have lost another client""",1,Business,Economy Class,Bergen to London Heathrow,July 2017,2,2,1,2,1,no
I Cameron,27th July 2017,"""happily fly with them again""",10,Family Leisure,Economy Class,Newcastle to Boston via London,July 2017,5,5,5,4,4,yes
E Mandell,26th July 2017,"""they are truly awful now""",1,Family Leisure,Economy Class,London Heathrow to Sofia,July 2017,2,1,1,1,1,no
I Teale,26th July 2017,"""slips further and further""",2,Solo Leisure,Economy Class,London to Frankfurt,August 2016,3,1,1,2,2,no
Alan Wan,25th July 2017,"""can't really complain about the overall experience""",7,Couple Leisure,Economy Class,London Heathrow to Bologna,July 2017,3,4,3,4,5,yes
P Cole,24th July 2017,"""We won't be flying with BA again""",1,Couple Leisure,Economy Class,London Heathrow to New York JFK,July 2017,2,1,1,2,1,no
R Banner,24th July 2017,"""such appalling customer service""",1,Business,Economy Class,London Heathrow to Berlin,July 2017,1,1,1,1,1,no
P Gerton,24th July 2017,"""BA cut us no slack for the injury""",5,Couple Leisure,Business Class,Barcelona to Boston via London,July 2017,2,5,4,3,1,no
Richard Marshall,23rd July 2017,"""no different to EasyJet""",5,Solo Leisure,Economy Class,London to Madrid,July 2017,2,3,1,3,4,no
M Keane,22nd July 2017,"""endured rather than enjoyed""",3,Business,Economy Class,London to Brussels,July 2017,2,2,0,2,2,no
Meares,21st July 2017,"""very poor quality seats""",1,Business,Business Class,London Heathrow to Accra,July 2017,1,3,1,1,1,no
N Tappin,21st July 2017,"""service has gone downhill""",3,Business,Economy Class,Krakow to London,May 2017,3,1,1,2,2,no
David Wolstencroft,19th July 2017,"""good on this occasion""",7,Family Leisure,Economy Class,Gatwick to Bridgetown,July 2017,4,4,4,4,4,yes
T Lanner,17th July 2017,"""lacking the passion to serve""",4,Business,Business Class,Dubai to London,July 2017,4,2,2,1,2,no
S Marichev,16th July 2017,"""BA is just a budget airline""",1,Couple Leisure,Economy Class,London to Sofia,June 2017,1,1,1,3,1,no
E Smyth,16th July 2017,"""Food selection mediocre""",5,Family Leisure,Business Class,Mauritius to Gatwick,July 2017,3,3,3,3,3,yes
B Simpson,16th July 2017,"""other carriers must be laughing""",1,Business,Business Class,New York JFK to London Heathrow,July 2017,1,1,1,2,1,no
R Sanyal,16th July 2017,"""on time and safely at that""",5,Business,Economy Class,Athens to London Heathrow,July 2017,3,2,1,3,3,yes
